date,ipca,selic,cotacao_dolar,acoes_PBR
2000-10-21,0.06221046397430493,0.16544571428571428,1.951290322580645,7.317708333333333
2000-10-22,0.061995762403069934,0.16539428571428572,1.9538548387096775,7.244791666666667
2000-10-23,0.06178106083183495,0.16534285714285715,1.9564193548387097,7.171875
2000-10-24,0.06156635926059995,0.16529142857142856,1.9589838709677418,6.9375
2000-10-25,0.06135165768936496,0.16524,1.9615483870967743,6.546875
2000-10-26,0.06113695611812996,0.16518857142857143,1.9641129032258065,6.515625
2000-10-27,0.06092225454689497,0.16513714285714284,1.9666774193548386,7.015625
2000-10-28,0.060707552975659974,0.16508571428571428,1.969241935483871,7.0
2000-10-29,0.06049285140442498,0.16503428571428572,1.9718064516129032,6.984375
2000-10-30,0.06027814983318999,0.16498285714285715,1.9743709677419354,6.96875
